id,name,abbreviation,numFloors,lowestFloor
0,Arts & Administration Building,A&A,4,0
1,Bakeless Center for Humanities,BCH,4,0
2,Ben Franklin Hall,BFH,3,0
3,Centennial Hall,CH,3,1
4,Hartline Science Center,HSC,4,-1
5,Andruss Library,LIB,4,1
6,Navy Hall,NH,3,0
7,Sutliff Hall,SH,3,1
8,Warren Student Services Center,SSC,3,0
9,Outside,O,1,0
