id,locationCode,latitude,longitude,floor,areaId,name,isValidDestination
4071,87H52H52+CRJ,41.008587500000000,-76.447984375,0,10,Sidewalk Outside,FALSE
4072,87H52H52+CMR,41.0086125,-76.448359375,0,10,Sidewalk Outside,FALSE
4073,87H52H53+348,41.007662500000000,-76.44717187500000,0,10,Sidewalk Outside,FALSE
4074,87H52H42+WQ4,41.007262500000000,-76.448046875,0,10,Sidewalk Outside,FALSE
4075,87H52H42+QPM,41.0069625,-76.44820312500000,0,10,Ben Franklin Main Entrance,TRUE
4076,87H52H42+WJ5,41.007262500000000,-76.448390625,0,10,Stairs Outside,FALSE
4077,87H52H42+VH7,41.0071625,-76.448578125,0,10,Stairs Outside,FALSE
4078,87H52H52+3F8,41.007662500000000,-76.448796875,0,10,Stairs Outside,FALSE
4079,87H52H52+3CM,41.0077125,-76.448953125,0,10,Navy Hall Side Entrance,FALSE
4080,87H52H52+67Q,41.0080875,-76.44926562500000,0,10,Navy HallSide Entrance,FALSE
4081,87H52H52+5CM,41.007962500000000,-76.448953125,0,10,Navy Main Entrance,TRUE
4082,87H52H52+2CW,41.00761250000000,-76.448921875,0,10,Sidewalk Outside,FALSE
4083,87H52H52+3GJ,41.0077125,-76.448734375,0,10,Sidewalk Outside,FALSE
4084,87H52H52+792,41.008137500000000,-76.449109375,0,10,Sidewalk Outside,FALSE
4085,87H52H52+67M,41.0080875,-76.449328125,0,10,Sidewalk Outside,FALSE
4086,87H52H42+X9J,41.0074625,-76.449109375,0,10,Sidewalk Outside,FALSE
4087,87H52H42+WFJ,41.007337500000000,-76.448859375,0,10,Sidewalk Outside,FALSE
4088,87H52H42+VHX,41.0072375,-76.448515625,0,10,Sidewalk Outside,FALSE
4089,87H52H42+RGQ,41.0070875,-76.448640625,0,10,Sidewalk Outside,FALSE
4090,87H52H42+QHM,41.0069625,-76.448578125,0,10,Sidewalk Outside,FALSE
4091,87H52H42+PGW,41.0068625,-76.448671875,0,10,Sidewalk Outside,FALSE
4092,87H52H42+QH8,41.0069125,-76.448546875,0,10,Ben Franklin Side Entrance,FALSE
4093,87H52H42+Q96,41.0069125,-76.449109375,0,10,Luzerne Hall Main Entrance,TRUE
4094,87H52H42+MC7,41.006662500000000,-76.448953125,0,10,Holtz Main Entrance,TRUE
4095,87H52H42+J7P,41.006587500000000,-76.449296875,0,10,Stairs Outside,FALSE
4096,87H52H42+P99,41.0067875,-76.449015625,0,10,Sidewalk Outside,FALSE
4097,87H52H42+H8J,41.0064625,-76.449234375,0,10,Holtz Side Entrance,FALSE
4098,87H52H42+GMG,41.0063125,-76.448296875,0,10,Sidewalk Outside,FALSE
4099,87H52H42+G8R,41.006362500000000,-76.449234375,0,10,Sidewalk Outside,FALSE
4100,87H52H42+H5F,41.006437500000000,-76.449578125,0,10,Sidewalk Outside,FALSE
